"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","DAL","-0.110","40.9%","-0.133","41.8%","-0.068","39.3%"
"2","","BUF","-0.104","40.7%","-0.085","43.0%","-0.135","37.0%"
"3","","NE","-0.094","41.7%","-0.102","43.6%","-0.082","38.9%"
"4","","ARI","-0.091","44.1%","-0.064","45.5%","-0.136","41.8%"
"5","","NO","-0.083","40.2%","-0.040","43.6%","-0.165","33.7%"
"6","","CAR","-0.065","40.9%","-0.022","43.4%","-0.121","37.7%"
"7","","TB","-0.047","44.1%","-0.020","46.2%","-0.114","39.0%"
"8","","CIN","-0.044","41.8%","-0.016","44.2%","-0.102","37.0%"
"9","","LA","-0.031","44.4%","0.025","47.7%","-0.131","38.3%"
"10","","DEN","-0.019","43.9%","0.003","43.9%","-0.057","43.9%"
"11","","TEN","-0.013","43.2%","0.024","45.1%","-0.093","39.2%"
"12","","IND","-0.012","45.4%","0.058","49.7%","-0.141","37.5%"
"13","","MIA","-0.002","43.4%","0.028","45.3%","-0.060","39.6%"
"14","","PHI","-0.000","46.0%","0.074","49.2%","-0.116","41.1%"
"15","","MIN","0.003","44.8%","0.025","46.9%","-0.034","41.3%"
"16","","SF","0.014","42.2%","0.097","46.6%","-0.126","34.8%"
"17","","GB","0.017","46.8%","0.036","47.6%","-0.023","45.0%"
"18","","PIT","0.023","44.6%","0.045","46.6%","-0.009","41.7%"
"19","","SEA","0.027","46.9%","0.112","52.1%","-0.105","38.8%"
"20","","CLE","0.028","43.1%","0.081","45.6%","-0.060","38.8%"
"21","","KC","0.031","47.1%","0.071","47.4%","-0.042","46.6%"
"22","","LAC","0.033","47.2%","0.056","46.0%","0.000","48.8%"
"23","","NYG","0.044","47.4%","0.077","49.6%","-0.009","44.0%"
"24","","BAL","0.059","42.8%","0.149","46.0%","-0.116","36.4%"
"25","","HOU","0.065","48.0%","0.113","51.2%","0.005","44.0%"
"26","","CHI","0.065","45.5%","0.132","48.0%","-0.025","42.2%"
"27","","ATL","0.071","48.8%","0.191","52.4%","-0.109","43.3%"
"28","","LV","0.073","45.8%","0.187","50.0%","-0.110","39.2%"
"29","","DET","0.088","45.0%","0.197","48.9%","-0.060","39.8%"
"30","","WAS","0.088","45.6%","0.178","49.4%","-0.080","38.5%"
"31","","JAX","0.110","45.9%","0.232","51.3%","-0.060","38.2%"
"32","","NYJ","0.135","47.6%","0.251","52.1%","-0.014","41.9%"